"","STL","ATL","Series Winner"
"928","2","3","ATL"
"929","0","3","ATL"
"930","2","3","ATL"
"931","2","3","ATL"
"932","3","0","STL"
"933","1","3","ATL"
"934","3","0","STL"
"935","1","3","ATL"
"936","3","1","STL"
"937","3","1","STL"
"938","0","3","ATL"
"939","3","2","STL"
"940","0","3","ATL"
"941","0","3","ATL"
"942","2","3","ATL"
"943","2","3","ATL"
"944","3","2","STL"
"945","2","3","ATL"
"946","3","2","STL"
"947","3","1","STL"
"948","0","3","ATL"
"949","3","2","STL"
"950","2","3","ATL"
"951","2","3","ATL"
"952","1","3","ATL"
"953","3","2","STL"
"954","2","3","ATL"
"955","3","0","STL"
"956","3","2","STL"
"957","1","3","ATL"
"958","0","3","ATL"
"959","3","2","STL"
"960","2","3","ATL"
"961","3","2","STL"
"962","3","1","STL"
"963","3","0","STL"
"964","1","3","ATL"
"965","2","3","ATL"
"966","1","3","ATL"
"967","0","3","ATL"
"968","3","0","STL"
"969","2","3","ATL"
"970","0","3","ATL"
"971","1","3","ATL"
"972","1","3","ATL"
"973","3","1","STL"
"974","2","3","ATL"
"975","1","3","ATL"
"976","2","3","ATL"
"977","1","3","ATL"
"978","3","2","STL"
"979","1","3","ATL"
"980","0","3","ATL"
"981","1","3","ATL"
"982","2","3","ATL"
"983","3","2","STL"
"984","1","3","ATL"
"985","3","2","STL"
"986","0","3","ATL"
"987","1","3","ATL"
"988","0","3","ATL"
"989","2","3","ATL"
"990","3","1","STL"
"991","1","3","ATL"
"992","1","3","ATL"
"993","3","2","STL"
"994","3","2","STL"
"995","3","1","STL"
"996","3","2","STL"
"997","1","3","ATL"
"998","3","0","STL"
"999","1","3","ATL"
"1000","1","3","ATL"
"1001","3","1","STL"
"1002","2","3","ATL"
"1003","3","2","STL"
"1004","1","3","ATL"
"1005","3","2","STL"
"1006","3","1","STL"
"1007","3","2","STL"
"1008","2","3","ATL"
"1009","2","3","ATL"
"1010","3","2","STL"
"1011","3","0","STL"
"1012","3","2","STL"
"1013","1","3","ATL"
"1014","3","2","STL"
"1015","3","1","STL"
"1016","1","3","ATL"
"1017","1","3","ATL"
"1018","3","1","STL"
"1019","0","3","ATL"
"1020","2","3","ATL"
"1021","1","3","ATL"
"1022","3","1","STL"
"1023","3","2","STL"
"1024","1","3","ATL"
"1025","0","3","ATL"
"1026","3","2","STL"
"1027","2","3","ATL"
"1028","3","2","STL"
"1029","3","0","STL"
"1030","1","3","ATL"
"1031","0","3","ATL"
"1032","1","3","ATL"
"1033","1","3","ATL"
"1034","1","3","ATL"
"1035","2","3","ATL"
"1036","3","2","STL"
"1037","3","2","STL"
"1038","1","3","ATL"
"1039","0","3","ATL"
"1040","1","3","ATL"
"1041","3","2","STL"
"1042","3","2","STL"
"1043","1","3","ATL"
"1044","3","2","STL"
"1045","3","1","STL"
"1046","3","0","STL"
"1047","2","3","ATL"
"1048","3","1","STL"
"1049","3","2","STL"
"1050","3","0","STL"
"1051","3","0","STL"
"1052","3","2","STL"
"1053","1","3","ATL"
"1054","0","3","ATL"
"1055","2","3","ATL"
"1056","0","3","ATL"
"1057","3","1","STL"
"1058","2","3","ATL"
"1059","3","2","STL"
"1060","1","3","ATL"
"1061","3","1","STL"
"1062","1","3","ATL"
"1063","2","3","ATL"
"1064","3","2","STL"
"1065","3","2","STL"
"1066","2","3","ATL"
"1067","2","3","ATL"
"1068","0","3","ATL"
"1069","0","3","ATL"
"1070","0","3","ATL"
"1071","2","3","ATL"
"1072","1","3","ATL"
"1073","3","2","STL"
"1074","3","0","STL"
"1075","0","3","ATL"
"1076","1","3","ATL"
"1077","2","3","ATL"
"1078","3","2","STL"
"1079","0","3","ATL"
"1080","3","2","STL"
"1081","1","3","ATL"
"1082","0","3","ATL"
"1083","0","3","ATL"
"1084","3","1","STL"
"1085","3","0","STL"
"1086","2","3","ATL"
"1087","0","3","ATL"
"1088","0","3","ATL"
"1089","3","2","STL"
"1090","3","0","STL"
"1091","0","3","ATL"
"1092","2","3","ATL"
"1093","3","2","STL"
"1094","3","0","STL"
"1095","1","3","ATL"
"1096","0","3","ATL"
"1097","0","3","ATL"
"1098","0","3","ATL"
"1099","3","1","STL"
"1100","1","3","ATL"
"1101","0","3","ATL"
"1102","3","1","STL"
"1103","0","3","ATL"
"1104","3","1","STL"
"1105","3","2","STL"
"1106","2","3","ATL"
"1107","3","0","STL"
"1108","3","2","STL"
"1109","3","2","STL"
"1110","2","3","ATL"
"1111","3","2","STL"
"1112","2","3","ATL"
"1113","2","3","ATL"
"1114","3","2","STL"
"1115","1","3","ATL"
"1116","3","0","STL"
"1117","2","3","ATL"
"1118","3","2","STL"
"1119","3","0","STL"
